"ID,""Collection"",""ENS"",""Minting Date"",""Tx Count"",""Power"""
"1120088,""0x17dfd18987b6b131686fea478600b75d11193335"",""kingway.eth"",""Mon, 06 Sep 2021 17:53:15 GMT"",""1"",""2070"""
"1120092,""0x0d4f29edacf51e79790456ee9699cc307b05d368"","""",""Mon, 06 Sep 2021 17:53:35 GMT"",""1"",""692"""
"1120100,""0xdbd8527028475b3cb8e7a9139a5117aea5e4ca01"",""chich.eth"",""Mon, 06 Sep 2021 17:55:05 GMT"",""1"",""8"""
"1120102,""0x183bdb344a07ee3d27f07ac4799a56e4a2fe5439"","""",""Mon, 06 Sep 2021 17:55:10 GMT"",""1"",""738"""
"1120103,""0x27ffcc3e8967f7c51dc3ebc7c0d242ea863deb57"","""",""Mon, 06 Sep 2021 17:55:15 GMT"",""1"",""181"""
"1120104,""0xbab71b94eeae1b53eec82ab3a01c8c453bd3f131"","""",""Mon, 06 Sep 2021 17:55:15 GMT"",""1"",""481"""
"1120107,""0x51b3dd026e3837352d7a0efb431c62c1862d0d4d"",""snt2020.stateofus.eth"",""Mon, 06 Sep 2021 17:55:50 GMT"",""1"",""1289"""
"1120111,""0x01c6229ba441b5928e69165b28ed9d086f9fd6d1"","""",""Mon, 06 Sep 2021 17:56:10 GMT"",""1"",""103"""
"1120113,""0x9d6acf2a7c8bee9bf9431af202c56a07134f347b"","""",""Mon, 06 Sep 2021 17:56:15 GMT"",""1"",""70"""
"1120115,""0x2911c43622e9939b6d1f0f677d92b4bd95acb90f"",""axcoin.eth"",""Mon, 06 Sep 2021 17:56:50 GMT"",""1"",""625"""
"1120116,""0x0cad7af8b05d0438ffa1a1b73d05676154ae1dca"","""",""Mon, 06 Sep 2021 17:56:55 GMT"",""1"",""560"""
"1120117,""0x49087eb6f9529eb02a508fb820d7b4d0b52e4881"",""metamess.eth"",""Mon, 06 Sep 2021 17:57:00 GMT"",""1"",""2694"""
